"Sheet","WorkbookRow","CaseNumber","WorkbookSummary","WorkbookTheme","WorkbookProductArea","WorkbookStatus","WorkTypeOrSize","WorkbookAssignedTo","SalesforceCaseId","SalesforceSubject","SalesforceStatus","SalesforceIsClosed","SalesforcePriority","SalesforceClassification","SalesforceRelatedObject","SalesforceObjectOfIssue","SalesforceErrorType","SalesforceOwner","SalesforceCreatedDate","SalesforceLastModifiedDate","SalesforceClosedDate","SalesforceDescription","SalesforceResolutionNotes","SalesforceAssignedToId","HistoryCount","FeedItemCount","FeedCommentCount","FileCount","DryRunDisposition"
"Errors & Just do its","49","00010216","Rich Gerler's Product Analytics page are all in GPB instead of USD for Rich Gerler","Data","Product Analytics","?","BUG","Sacha Pearce","500Ro000010vdlkIAA","Product Analytics page for parts are all in GBP instead of USD.","Claimed","False","Medium","Salesforce Error","Product",,,"Richard Gerler","24-06-2026 19:52:06","21-08-2026 20:25:06",,"This is a conflict with the Product page",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","59","00010263","Code review on how product names on assets are edited.","Validation Rules/Access","Products/Assets","Not Yet Started","M","Mindy Bender","500Ro0000117vTZIAY","Product Name Deletion Without User Input","Closed","True","Medium","Other","Asset2",,,"Ethan Ferrell","26-06-2026 18:40:05","10-07-2026 19:23:22","10-07-2026 19:23:22","I created 538575 yesterday, and the product name was deleted without my input. This AM, with permissions restored to me, I tried to set the name. It was again deleted. Upon a third attempt, the product name finally sticks.",,"0050B000006qIImQAM","5","2","0","0","Review - active workbook row but Salesforce closed"
"Projects (Major and Minor)","60","00010264","Published Rates for Shipments via our Third Party Account","New/Edit Workflows","Shipments/Zenkraft","Not Yet Started","M","Mindy Bender","500Ro0000118gPFIAY","Published Rates for Shipments","Claimed","False","Medium","Salesforce Improvement","Shipment/ZenKraft",,,"Dylan Buchanan","26-06-2026 20:36:58","11-07-2026 00:28:20",,"Would like for Published Rates from Shipments to be populated when billing our 108075996 acct via Third Party.",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","22","00010270","Part record type new asset, product analytics/product name doesn't populate","New/Edit Workflows","Asset","Build/Unit Testing","L","Natalie Boger","500Ro000011L2YtIAK","Asset Creation","In progress","False","Medium","Administrative (Reports & Dashboards)","Asset2",,,"Ethan Ferrell","29-06-2026 23:08:07","22-07-2026 07:58:16",,"During creation of an asset from a product page, with a part record type, the product analytics product name does not populate. This input box should be filled with the same data as the product name box at the top.",,"0050B000006qIImQAM","5","2","0","0","Ready for case-level requirements analysis"
"Complete","6","00010281","Can we have 'Related service contract' field to be able to link related contract instead of Opportunity for PO","New/Edit Fields","Opportunity","Completed","M","Sacha Pearce","500Ro000011V5DiIAK","PO outsource labour - additional field","Closed","True","Medium","Administrative (Reports & Dashboards)","Opportunity",,,"Karolina Kozar","01-07-2026 15:59:14","19-08-2026 20:40:07","19-08-2026 20:40:07","Can we have 'Related service contract' field to be able to link related contract instead of Opportunity",,"0055b00000REnyEAAT","4","2","0","0","Exclude - complete in workbook and Salesforce"
"Projects (Major and Minor)","48","00010291","Product Name entered twice (regular and analytics)","New/Edit Workflows","Asset","Design","M","Mindy Bender","500Ro000011qtXBIAY","Problems creating an asset","Claimed","False","Medium","Salesforce Improvement","Asset2",,,"Dominick Vena","06-07-2026 17:37:32","10-07-2026 23:54:10",,"Product name field listed twice. Can we remove the one towards the bottom? Will save us some time and frustration.",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","15","00010292","Save and close when adding assets","New/Edit Workflows","Opportunity, Assets","Design","BUG","Mindy Bender","500Ro000011rXhVIAU","Assets being added to OPP","Claimed","False","Medium","Salesforce Error","Asset2",,,"Gretchen Scarborough","06-07-2026 19:31:50","08-07-2026 22:16:43",,"Save and Close option does not work anymore - we have to hit cancel to go back to OPP.",,"005Ro00000DkR8zIAF","4","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","111","00010296","Can you remove acces for Tim to amend product tests once they are completed. Same with all workshop staff","Validation Rules/Access","Product Test","Not Yet Started","S","Sacha Pearce","500Ro000011w7kpIAA","Remove access for Tim Cheese","Claimed","False","Medium","Other","Product Test",,,"Jon Kean","07-07-2026 15:39:58","07-07-2026 15:39:59",,"Can you remove acces for Tim to amend product tests once they are completed. Same with all workshop staff",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Complete","9","00010303","Customer repairs getting added as purchase approved (requirements for WOLI to be added as a line item)","New/Edit Workflows","Assets, Work Orders","Quality/Compliance","Build/Unit Testing","Matt Mooney","500Ro0000120IxnIAE","customer repairs are getting automatically purchase approved","On Hold","False","Medium","Administrative (Reports & Dashboards)","Asset2",,,"Matt Mooney","08-07-2026 01:28:00","24-08-2026 10:48:34",,"We came across an issue today and cannot figure it out.  This report shows probes that are customer repairs.  But it appears they are being purchase approved when the decontamination box is checked.    Can you look into what’s happening?  The primary issu",,"0050B000006qIImQAM","4","3","0","0","Review - workbook complete but Salesforce open"
"Complete","4","00010304","Ship From dropdown instead of free text & not receiving email automations","New/Edit Workflows","Email Alerts","Design","S","Mindy Bender","500Ro0000120NvqIAE","Purchasing Returns","Claimed","False","Medium","Other","Purchasing Return",,,"Aaron Poston","08-07-2026 01:58:22","09-07-2026 01:58:00",,"Can we please have the Ship From field removed from the Shipping section.(Open Text Box).  Op creators should be utilizing the Shipping FROM Location during PR creation.  We have had issues with the reporting and populating of PR's onto the shipping dash as op creators are able to type anything into the Ship From field.  If we can eliminate this field they will be required to use the dropdown options listed on the Shipping FROM Location.
Additionally, we are not receiving any auto-generated emails from SF upon completion of PR's.  The other Opportunity types auto send an email upon completion to the Op Owner and the person who completes the shipping of the op.",,"005Ro00000DkR8zIAF","6","1","0","0","Review - workbook complete but Salesforce open"
"Errors & Just do its","50","00010321","A confirmation email that a case has been raised is not being sent on creation on UK Warehouse request","New/Edit Workflows","Email Alerts","?","BUG","Sacha Pearce","500Ro0000129cagIAA","Automated email not being sent on UK Warehouse Request","Claimed","False","Medium","Other","Case",,,"Jon Kean","09-07-2026 16:26:09","09-07-2026 16:26:10",,"A confirmation email that a case has been raised is not being sent on creation",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","76","00010331","Add points to close out on FSL - environment left in safe working condition","New/Edit Fields","Work Order, Service Appointment","Not Yet Started","S/M","Sacha Pearce","500Ro000012Gn3BIAS","Add points to close out on FSL","Closed","True","High","Salesforce Improvement","Field Service Lightning",,,"Tom Meredith","10-07-2026 19:12:00","21-08-2026 19:14:55","21-08-2026 19:14:55","Please add following to be included in the SA but does not need to be visible in the paperwork - ""Environment left in safe working condition"" ""System left in Safe Condition"" - both yes/no - 

Not necessary but useful if possible - If No to either, can an email be sent to Chris Dall-Smith/Adam Ward/Tom Meredith notifying of the SA so we can investigate?",,"0055b00000REnyEAAT","6","4","0","0","Review - active workbook row but Salesforce closed"
"Errors & Just do its","16","00010341","Combine duplicate accounts","Data","Account","Design","JDI","Mindy Bender","500Ro000012TMYAIA4","Combine duplicate accounts","Claimed","False","Medium","Other","Account",,,"Julie Nickerson","13-07-2026 22:53:32","17-07-2026 23:07:37",,"Please combine accounts keeping C-016029 as the main account.",,"005Ro00000DkR8zIAF","4","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","69","00010361","Mark a product as exchange needed so when things are sold it's clear core needs to come back from customer","New/Edit Workflows, New/Edit Fields","Opportunities, Products/Assets","Requirement Gathering","S/M","Mindy Bender","500Ro000012fZt2IAE","PRODUCTS","Claimed","False","Medium","Salesforce Improvement","Product",,,"Gretchen Scarborough","15-07-2026 21:34:59","06-08-2026 05:07:28",,"adding a outright or exchange drop down choice in products",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","51","00010374","Can we alter the duration of ultrasound PPM service appointments to 2 hours rather than 4","New/Edit Workflows","Work Order, Service Appointment","?","JDI","Sacha Pearce","500Ro000012qKFoIAM","all ultrasound PPM service appointments are 4 hours","Claimed","False","Medium","Salesforce Improvement","Work Order",,,"Karla Stancombe","17-07-2026 16:16:34","17-07-2026 16:16:34",,"Can we alter the duration of ultrasound PPM service appointments to 2 hours rather than 4",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","17","00010377","Add ""No Budget"" as ready for closed lost in UK","Data","Opportunity","Build/Test/Deploy","JDI","Mindy Bender","500Ro000012rLaxIAE","Add No Budget to Reasons for Unqualified UK","Claimed","False","Medium","Administrative (Reports & Dashboards)","Lead",,,"Brian Gill","17-07-2026 19:11:18","17-07-2026 22:51:40",,"Please add ""No Budget"" as a Reasons for Unqualified when users unqualify a lead",,"005Ro00000DkR8zIAF","4","2","5","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","53","00010378","RMA Notification for Cores & Other new RMA fields","New/Edit Workflows, New/Edit Fields","RMA, Email Alerts","Requirement Gathering","M","Mindy Bender","500Ro000012rUMVIA2","RMA NOTIFICATION FOR CORES","Claimed","False","Medium","Salesforce Improvement","RMA",,,"Gretchen Scarborough","17-07-2026 19:57:06","17-07-2026 22:48:55",,"RMA NOTIFICATION FOR CORES",,"005Ro00000DkR8zIAF","4","2","4","0","Ready for case-level requirements analysis"
"Errors & Just do its","27","00010380","The Received Checkbox Workflow is currently inoperable; the previous workflow would check the ""Received Checkbox"" when a received date was entered. Can we restore this functionality.","BUG",,"Design","BUG","Natalie Boger","500Ro000012sIZNIA2","Received Checkbox Workflow","Claimed","False","Medium","Other","Asset2",,,"Blake Nielsen","17-07-2026 20:56:01","24-07-2026 20:48:52",,"The Received Checkbox Workflow is currently inoperable; the previous workflow would check the ""Received Checkbox"" when a received date was entered.  Can we restore this functionality.",,"0050B000006qIImQAM","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","96","00010381","Customer number to show on search screen","Search Layout","SearchLayout, Account","Requirement Gathering","S","Mindy Bender","500Ro000012vJgzIAE","customer number to show on search screen","Claimed","False","Medium","Other","OTHER",,,"Krystie Green","18-07-2026 05:22:02","25-07-2026 01:10:03",,"Customer number needed for visability",,"005Ro00000DkR8zIAF","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","77","00010387","Edit Close out for Travel Days","New/Edit Workflows","Work Order, Service Appointment","Not Yet Started","S/M","Sacha Pearce","500Ro0000131drXIAQ","Edit Close out for Travel Days","Closed","True","Medium","Salesforce Improvement","Field Service Lightning",,,"Tom Meredith","20-07-2026 19:04:14","21-08-2026 19:12:26","21-08-2026 19:12:26","Remove uneccessary fields to prevent duplication of appts or skewing uptime stats. Have so engineer clicks ""Travel Start"" (this autofills actual start) and when they close out ""engineer comments"" and ""actual end""",,"0055b00000REnyEAAT","4","3","0","0","Review - active workbook row but Salesforce closed"
"Projects (Major and Minor)","78","00010389","please add in the following fields, ""Tube count"" - units mAs example 47,114,788 mAs ... ""Gantry Revolutions"" - units Revs . Example 6,581,964 revs . ""Scans"" - units Patients . Example ""16,561 patients.""","New Fields","Maintenance Items","Not Yet Started","S/M","Sacha Pearce","500Ro0000132vkjIAA","Addition to CT PPM list","Claimed","False","Medium","Salesforce Improvement","Field Service Lightning",,,"Tom Meredith","20-07-2026 21:05:49","20-07-2026 21:05:49",,"please add in the following fields, ""Tube count"" - units mAs example 47,114,788 mAs ... ""Gantry Revolutions"" - units Revs . Example 6,581,964 revs .  ""Scans"" - units Patients . Example ""16,561 patients.""",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","10","00010390","Can't add lines to CM-0016776","Bug","Credit Memo","Bug","BUG","Mindy Bender","500Ro0000132AihIAE","CM-0016776","Closed","True","Medium","Salesforce Error","Intacct",,,"Michelle Amancio","20-07-2026 21:18:27","12-08-2026 19:23:09","12-08-2026 19:23:09","Cant add lines to CM",,"005Ro00000DkR8zIAF","5","2","0","0","Review - active workbook row but Salesforce closed"
"Errors & Just do its","52","00010393","PPM...Progress does not appear to save when completing checksheets","Bug","ServiceAppointment, Maintenance Item","Bug","BUG","Sacha Pearce","500Ro0000132k9SIAQ","PPM Checklist Save Progress FSL","Closed","True","Medium","Other","Work Order",,,"Chris Dall-Smith","20-07-2026 22:15:34","07-08-2026 20:35:00","07-08-2026 20:35:00","Progress does not appear to save when completing checksheets",,"0055b00000REnyEAAT","3","2","0","0","Review - active workbook row but Salesforce closed"
"Projects (Major and Minor)","112","00010409","Create a new SA button which will pre-populate info from WO simiar to WO from contract line","New/Edit Workflows","Work Order, Service Appointment","Not Yet Started","S","Sacha Pearce","500Ro000013F62rIAC","New SA Button","Claimed","False","High","Salesforce Improvement","Work Order",,,"Tom Meredith","22-07-2026 18:55:04","22-07-2026 18:55:43",,"To create a new SA Button which will pre populate the information from the WO it is being created from. (similar to how the Create UK Work Order works from the contract line)",,"0055b00000REnyEAAT","4","2","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","18","00010414","Add Frank Kampy as option in equipment tab for allocated to.","Data","Equipment","Design","JDI","Mindy Bender","500Ro000013Fgw7IAC","new bin","Claimed","False","Medium","Other","OTHER",,,"Tyler Turley","22-07-2026 22:58:50","24-07-2026 19:25:42",,"Need to add Frank Kampy in to the Field Service Engineer location",,"005Ro00000DkR8zIAF","4","2","2","1","Ready for case-level requirements analysis"
"Errors & Just do its","54","00010415","Allow Jonah to change entity for Ops as he can't add assets due to entity not being in US","Validation Rules/Access","Opportunity, Entity","?","JDI","Mindy Bender","500Ro000013GqDJIA0","Entity","Claimed","False","Medium","Administrative (Reports & Dashboards)","Opportunity",,,"Terry Mascia","22-07-2026 23:07:53","07-08-2026 02:54:15",,"allow Jonah to change entity for op's , He cannot add assets at times due to entity not being US",,"005Ro00000DkR8zIAF","3","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","97","00010446","Add spot to record dims and weights on asset (L, W, H and Weight)","New/Edit Fields","Asset, Product","Requirement Gathering","S","Mindy Bender","500Ro000013crYxIAI","New Field For Shipment Dimensions","Claimed","False","Medium","Salesforce Improvement","Product",,,"Blake Nielsen","27-07-2026 22:35:00","28-07-2026 22:59:15",,"Team, we would like to add a New Field For Standard Shipment Dimensions at the product level; this field should allow us to enter the length, width, height and weight of the product as made ready to ship.",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","89","00010447","Add RMA Core due date box on main PO","New/Edit Fields","Opportunity, RMA","Design","S","Mindy Bender","500Ro000013cBwLIAU","RMA CORE DUE DATE BOX","Claimed","False","Medium","Salesforce Improvement","Opportunity",,,"Gretchen Scarborough","27-07-2026 22:59:43","28-07-2026 22:58:43",,"RMA CORE DUE DATE BOX - can we add a RMA CORE DUE DATE BOX on the main PO  so we can run a report on those dates?",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","97","00010464","Add spot to record dims and weights on asset (L, W, H and Weight)","New/Edit Fields","Asset, Product","Requirement Gathering","S","Mindy Bender","500Ro000013iqLkIAI","Dims and weight","Claimed","False","Medium","Salesforce Idea","Asset2",,,"Jasmine Dearth","28-07-2026 23:46:04","29-07-2026 01:43:00",,"Wanting to get a Dims and weight spot generated into the asset details, so we can enter dims and weights into the asset",,"005Ro00000DkR8zIAF","4","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","19","00010489","New Service Contract email/notification off Carmen, add ar@probomedical.com","New/Edit Workflows","Email Alerts, Approvals","Build/Test/Deploy","JDI","Mindy Bender","500Ro000013wWrjIAE","Emails with Subject: New Service Contract Ready for Approval","Claimed","False","Medium","Other","OTHER",,,"Krystie Green","31-07-2026 02:49:03","04-08-2026 22:24:24",,"Please remove Carmen Montalvo <cmontalvo@probomedical.com> from receiving these and send them to ar@probomedical.com.  This email was sent from From: noreply@salesforce.com <noreply@salesforce.com> On Behalf Of Ashley Madson. Account: Siemens Healthcare L",,"005Ro00000DkR8zIAF","3","3","0","1","Ready for case-level requirements analysis"
"Projects (Major and Minor)","79","00010491","Add Support engineer so visible to enginner who they are attendng visit with","New/Edit Fields","Work Order, Service Appointment","Not Yet Started","S/M","Sacha Pearce","500Ro000013yhizIAA","adding of support engineer, so its visible to engineer who they are attending visit with","Claimed","False","Medium","Salesforce Improvement","Field Service Lightning",,,"Harriet Langley","31-07-2026 14:32:38","31-07-2026 14:32:38",,"adding of support engineer, so its visible to engineer who they are attending visit with",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","20","00010500","Vendor not synced to Intacct","Data","Account","Requirement Gathering","JDI","Mindy Bender","500Ro00001411iPIAQ","Vendor not synched to Inttact","Claimed","False","Medium","Other","Intacct",,,"Ana Serrano","31-07-2026 21:51:52","04-08-2026 22:53:57",,"Vendor not synched in Inttact",,"005Ro00000DkR8zIAF","4","2","3","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","87","00010510","Prevent updates to Item Receipts after Intacct Sync","Validation Rules/Access","Item Receipts","Design","S","Sacha Pearce","500Ro0000149QuxIAE","No edit once IRs sync","Closed","True","Medium","Salesforce Improvement","Item Receipt",,,"James Bevan-Jones","03-08-2026 18:18:23","07-08-2026 20:14:48","07-08-2026 20:14:48","the value of item receipts should no be able to be changed in SF once the IR has synced to Intacct",,"0055b00000REnyEAAT","3","2","0","0","Review - active workbook row but Salesforce closed"
"Projects (Major and Minor)","49","00010514","Automatic RMA creation for work orders","New/Edit Workflows","RMA, Work Order","Design","M","Mindy Bender","500Ro0000149IRCIA2","CORE EXCHANGE RMA NOT AUTOMATICALLY OPENING ON WO","Claimed","False","Medium","Salesforce Improvement","Work Order",,,"Ashley Madson","03-08-2026 20:12:40","04-08-2026 00:41:10",,"CAN WE TRIGGER THE CORE RMA TO OPEN ON WORK - WE MANAUALLY HAVE TO CREATE THEM NOW - NEED AUTOMATED FOR GE CONTRACT",,"005Ro00000DkR8zIAF","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","29","00010516","Scan bar code to update the current location field of an individual asset","New/Edit Workflows, New/Edit Fields","Asset, Location","Not Yet Started","L",,"500Ro000014Aty5IAC","Bar Code Scan location into ""Current Location"" field","Claimed","False","Medium","Salesforce Improvement","Asset2",,,"Richard Gerler","03-08-2026 21:16:00","12-08-2026 18:57:29",,"We need the ability to scan a bar code to update the current location field of an individual asset. There needs to be a data validation that it is a correct location from the location lists.",,"0050B000006qIImQAM","3","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","21","00010517","Update Account/Ship Address","Data","Account","Not Started yet","JDI","Mindy Bender","500Ro000014Cb96IAC","Update Account Bill / Ship address","Claimed","False","Medium","Other","Account",,,"Matt Ehlke","04-08-2026 02:11:35","06-08-2026 01:29:47",,"The customer's address changed and the account needs updated for both billing/shipping address.

2021B Emmorton Rd, Suite 110
Bel Air, MD 21015",,"005Ro00000DkR8zIAF","4","2","1","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","88","00010535","Entity asset should match PO entity when created from PO","New/Edit Workflow","Opportunity, Assets","Design","S","Mindy Bender","500Ro000014NGalIAG","new asset creation for Probo Canada","Claimed","False","Medium","Salesforce Improvement","Asset2",,,"Nick Smitton","05-08-2026 21:28:54","06-08-2026 05:07:02",,"when creating a new asset for a Canadian purchasing opportunity the new asset is showing as a Probo US asset not Probo Canada",,"005Ro00000DkR8zIAF","2","2","11","0","Ready for case-level requirements analysis"
"Errors & Just do its","11","00010538","Remove ""Formerly Davis Medical"" on print DME Shipment Confirmation","New/Edit Workflows","Email Alerts?","Not Started yet","JDI","Mindy Bender","500Ro000014PHMFIA4","Removing ""Formerly Davis Medical""","Closed","True","High","Other","OTHER",,,"Erickson Naval","06-08-2026 01:32:55","07-08-2026 04:20:59","07-08-2026 04:20:59","Our team here at the San Diego Location are trying to remove the ""Formerly Davis Medical"" that always pop's up whenever we print the DME Shipment Confirmation. We want it to strictly say ""Probo Medical"" whenever we print our shipment confirmation page.",,"005Ro00000DkR8zIAF","5","5","1","0","Review - active workbook row but Salesforce closed"
"Projects (Major and Minor)","71","00010541","Sales appt lookup on teams case","New/Edit Workflows, new fields","Cases","Not Yet Started","S/M","Sacha Pearce","500Ro000014Rya3IAC","Sales appt look up on teams case","Closed","True","Medium","Salesforce Improvement","Field Service Lightning",,,"Harriet Langley","06-08-2026 18:28:08","07-08-2026 16:15:37","07-08-2026 16:15:37","Sales appt look up on teams case",,"0055b00000REnyEAAT","3","2","0","0","Review - active workbook row but Salesforce closed"
"Errors & Just do its","12","00010542","Add Jake St Germaine to Commission Shared",,,,,"Mindy Bender","500Ro000014SKcCIAW","Add Jake St. Germaine to Commission Shared with Drop down","Closed","True","Medium","Other","Opportunity",,,"Ashley Madson","06-08-2026 20:36:36","07-08-2026 02:53:24","07-08-2026 02:53:24","Add Jake St. Germaine to Commission Shared with Drop down bottom of opportunity under System Informtation",,"005Ro00000DkR8zIAF","4","2","0","0","Review - active workbook row but Salesforce closed"
"Projects (Major and Minor)","80","00010555","Return label tracking # added to shipment notification email","New/Edit Workflows","Email Alerts","Not Yet Started","S/M",,"500Ro000014j97fIAA","Return Label Tracking  - woudl be great if can do this in conjunction with Case 00010017","On Hold","False","Medium","Salesforce Improvement","Opportunity",,,"Matt Mooney","10-08-2026 20:29:10","12-08-2026 19:25:30",,"When we ship probes for sale on exchange or return a probe repair that has loaner, we usually include a return label for return of core or loaner to probo.  Is it possible to have that return tracking # added to the shipment notification e-mail from SFDC",,,"2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","81","00010559","Prevent Support Engineer appointments pulling in Shipping Information from Parent SA","New/Edit Workflows","Service Appointment","Not Yet Started","S/M","Sacha Pearce","500Ro000014oOPJIA2","Prevent Support Engineer appointments pulling in Shipping Information from Parent SA.","Claimed","False","Medium","Salesforce Improvement","Field Service Lightning",,,"Tom Meredith","11-08-2026 16:24:23","11-08-2026 16:24:24",,"can we stop duplicate shipping info being pulled as it looks like the support eng also has parts to collect",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","64","00010560","Update FSL mobile app view on Service Appointment","New/Edit Workflows","Work Order, Service Appointment","Not Yet Started","M","Sacha Pearce","500Ro000014oQB0IAM","Include Equipment Location within the address of the SA for FSL (on overview page)","Claimed","False","Medium","Salesforce Improvement","Field Service Lightning",,,"Tom Meredith","11-08-2026 16:37:18","11-08-2026 16:37:19",,"currently only states the address, but hospital name is not visible. alternatively lets discuss if this can be moved within WO and SA level. We also need to remopve a load of uneccessary fields from FSL view on the mobile app for SA/WO.",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","113","00010632","Show Current Location on Opportunity Line Item (instead of Location/SubLocation)","Edit Fields & layouts","Opportunity Line Item","Not Yet Started","S","Mindy Bender","500jR000000I7uHQAS","Asset Location on Opps","Claimed","False","Medium","Salesforce Improvement","Opportunity",,,"Eric Szukis","20-08-2026 23:01:11","24-08-2026 20:39:16",,"Would like the current location shown on the products section of sales ops instead of location.  Have to click on each asset to get pick locations.",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","66","00010649","Customer Persona required on all contacts (+add ""Call In"")","New/Edit Workflows","Contacts","Not Yet Started","M",,"500jR000000PdPbQAK","Make Customer Persona required field for contacts","Claimed","False","Medium","Salesforce Improvement","Contact",,,"Brian Gill","24-08-2026 21:59:54","24-08-2026 23:40:07",,"We would like to force new contacts to have a required field for Customer Persona. There is a picklist created for this. This would need to be required on the lead object so it doesn't error on conversion. All web leads require this field.",,"005Ro00000DkR8zIAF","3","1","4","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","66","00010650","Customer Persona required on all contacts (+add ""Call In"")","New/Edit Workflows","Contacts","Not Yet Started","M",,"500jR000000PXLnQAO","""call in"" as Customer Persona","Claimed","False","Medium","Administrative (Reports & Dashboards)","Contact",,,"Brian Gill","24-08-2026 22:02:26","24-08-2026 23:39:38",,"In creating Customer Persona as a rquired field, we may need to add ""Call In"" as Persona. Leads from CallRail will carry this Persona so it doesn't error on conversion. If it won't be necessary, we won't need this... I hope that makes sense!",,"005Ro00000DkR8zIAF","4","1","0","0","Ready for case-level requirements analysis"
